,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hogares posterior
659,2017,2,La Rioja,16.203445806143563,51.46525230494696
635,2017,3,La Rioja,51.46525230494696,51.56847440546175
611,2017,4,La Rioja,51.56847440546175,51.44351011244806
587,2018,1,La Rioja,51.44351011244806,50.97789073923241
563,2018,2,La Rioja,50.97789073923241,50.73304318059562
539,2018,3,La Rioja,50.73304318059562,50.347993917417234
515,2018,4,La Rioja,50.347993917417234,50.184587883262736
491,2019,1,La Rioja,50.184587883262736,48.704939144243156
467,2019,2,La Rioja,48.704939144243156,47.94290512174643
443,2019,3,La Rioja,47.94290512174643,47.13589011052434
419,2019,4,La Rioja,47.13589011052434,46.346631384166976
395,2020,1,La Rioja,46.346631384166976,49.83993501839552
371,2020,2,La Rioja,49.83993501839552,50.118113236302676
347,2020,3,La Rioja,50.118113236302676,50.11061211701148
323,2020,4,La Rioja,50.11061211701148,49.80693519079345
299,2021,1,La Rioja,49.80693519079345,76.9786615851933
275,2021,2,La Rioja,76.9786615851933,77.26016061386845
251,2021,3,La Rioja,77.26016061386845,77.9234900964576
227,2021,4,La Rioja,77.9234900964576,78.77459866564503
203,2022,1,La Rioja,78.77459866564503,80.14
179,2022,2,La Rioja,80.14,80.66
155,2022,3,La Rioja,80.66,79.86
131,2022,4,La Rioja,79.86,79.74
107,2023,1,La Rioja,79.74,80.01
83,2023,2,La Rioja,80.01,80.44
59,2023,3,La Rioja,80.44,80.22
35,2023,4,La Rioja,80.22,80.03
11,2024,1,La Rioja,80.03,31.91312298660578
972,2014,1,Mendoza,31.91312298660578,32.098238150241194
948,2014,2,Mendoza,32.098238150241194,32.313179561655694
924,2014,3,Mendoza,32.313179561655694,32.63838187615034
900,2014,4,Mendoza,32.63838187615034,32.36588756051825
876,2015,1,Mendoza,32.36588756051825,32.49199583186653
852,2015,2,Mendoza,32.49199583186653,32.49199583186653
828,2015,3,Mendoza,32.49199583186653,32.48895249500142
804,2015,4,Mendoza,32.48895249500142,32.12333888801278
780,2016,1,Mendoza,32.12333888801278,32.12597179442594
756,2016,2,Mendoza,32.12597179442594,32.08835884566649
732,2016,3,Mendoza,32.08835884566649,32.10735338479002
708,2016,4,Mendoza,32.10735338479002,31.843012770179662
684,2017,1,Mendoza,31.843012770179662,31.75860536139077
660,2017,2,Mendoza,31.75860536139077,35.70493177720565
636,2017,3,Mendoza,35.70493177720565,33.32562553415048
612,2017,4,Mendoza,33.32562553415048,37.07215110240331
588,2018,1,Mendoza,37.07215110240331,36.97287272406129
564,2018,2,Mendoza,36.97287272406129,37.990597267996215
540,2018,3,Mendoza,37.990597267996215,37.757783845911696
516,2018,4,Mendoza,37.757783845911696,37.657164970282864
492,2019,1,Mendoza,37.657164970282864,40.754624235362655
468,2019,2,Mendoza,40.754624235362655,40.73714258735342
444,2019,3,Mendoza,40.73714258735342,33.64903072027183
420,2019,4,Mendoza,33.64903072027183,33.14207670017271
396,2020,1,Mendoza,33.14207670017271,36.25224342110005
372,2020,2,Mendoza,36.25224342110005,37.348633137232696
348,2020,3,Mendoza,37.348633137232696,38.62957896227819
324,2020,4,Mendoza,38.62957896227819,39.153661528996416
300,2021,1,Mendoza,39.153661528996416,40.97324182617088
